case_id,tier,category,officer,incident_date,file_path
case_001,3,"Narcotics Offence (NDPS Act, Sec. 8)",Ojasvi Sem,2024-07-15,data/raw/firs/case_001.txt
case_002,3,Extortion (BNS Sec. 308),Advay Yogi,2025-02-20,data/raw/firs/case_002.txt
case_003,3,Human Trafficking (BNS Sec. 143),Tanay Gandhi,2024-08-11,data/raw/firs/case_003.txt
case_004,3,Financial Fraud / Cheating (BNS Sec. 318),Aradhana Aurora,2024-07-14,data/raw/firs/case_004.txt
case_005,3,"Narcotics Offence (NDPS Act, Sec. 8)",Zashil Dyal,2024-11-06,data/raw/firs/case_005.txt
case_006,3,Human Trafficking (BNS Sec. 143),Yadavi Sarraf,2025-04-17,data/raw/firs/case_006.txt
case_007,3,Human Trafficking (BNS Sec. 143),Qushi Kalla,2023-01-24,data/raw/firs/case_007.txt
case_008,3,"Narcotics Offence (NDPS Act, Sec. 8)",Upkaar Khurana,2023-01-14,data/raw/firs/case_008.txt
case_009,3,Human Trafficking (BNS Sec. 143),Ekanta Tandon,2024-11-14,data/raw/firs/case_009.txt
case_010,3,"Narcotics Offence (NDPS Act, Sec. 8)",Wahab Kumar,2024-09-01,data/raw/firs/case_010.txt
case_011,3,Human Trafficking (BNS Sec. 143),Sathvik Sahota,2025-07-13,data/raw/firs/case_011.txt
case_012,3,Financial Fraud / Cheating (BNS Sec. 318),Quincy Lala,2025-06-11,data/raw/firs/case_012.txt
case_013,3,Extortion (BNS Sec. 308),Praneel Mahal,2023-01-17,data/raw/firs/case_013.txt
case_014,3,Human Trafficking (BNS Sec. 143),Neha Randhawa,2022-07-12,data/raw/firs/case_014.txt
case_015,3,Human Trafficking (BNS Sec. 143),Aradhana Parmer,2024-07-03,data/raw/firs/case_015.txt
case_016,3,"Narcotics Offence (NDPS Act, Sec. 8)",Ira Doctor,2023-09-14,data/raw/firs/case_016.txt
case_017,3,Extortion (BNS Sec. 308),Ranbir Mahajan,2022-10-18,data/raw/firs/case_017.txt
case_018,3,Human Trafficking (BNS Sec. 143),Wridesh Saha,2022-07-05,data/raw/firs/case_018.txt
case_019,3,Human Trafficking (BNS Sec. 143),Charan Bali,2025-01-08,data/raw/firs/case_019.txt
case_020,3,Human Trafficking (BNS Sec. 143),Ucchal Zachariah,2025-11-21,data/raw/firs/case_020.txt
case_021,3,Human Trafficking (BNS Sec. 143),Oni Bhandari,2025-07-23,data/raw/firs/case_021.txt
case_022,3,"Narcotics Offence (NDPS Act, Sec. 8)",Rudra Gulati,2022-03-27,data/raw/firs/case_022.txt
case_023,3,Human Trafficking (BNS Sec. 143),Ronith Khare,2025-05-04,data/raw/firs/case_023.txt
case_024,3,Financial Fraud / Cheating (BNS Sec. 318),Eshana Parmar,2024-03-22,data/raw/firs/case_024.txt
case_025,3,"Narcotics Offence (NDPS Act, Sec. 8)",Azad Char,2024-07-16,data/raw/firs/case_025.txt
case_026,3,Human Trafficking (BNS Sec. 143),Finn Mitra,2025-09-01,data/raw/firs/case_026.txt
case_027,3,"Narcotics Offence (NDPS Act, Sec. 8)",Chanakya Nayak,2025-06-14,data/raw/firs/case_027.txt
case_028,3,"Narcotics Offence (NDPS Act, Sec. 8)",Imaran Dugar,2025-08-24,data/raw/firs/case_028.txt
case_029,3,"Narcotics Offence (NDPS Act, Sec. 8)",Dayamai Dixit,2022-11-19,data/raw/firs/case_029.txt
case_030,3,"Narcotics Offence (NDPS Act, Sec. 8)",Aachal Bajaj,2025-06-30,data/raw/firs/case_030.txt
case_031,3,Financial Fraud / Cheating (BNS Sec. 318),Siddharth Barman,2022-01-31,data/raw/firs/case_031.txt
case_032,3,Human Trafficking (BNS Sec. 143),Kamya Chokshi,2024-12-18,data/raw/firs/case_032.txt
case_033,3,"Narcotics Offence (NDPS Act, Sec. 8)",Vritti Anne,2022-05-10,data/raw/firs/case_033.txt
case_034,3,Human Trafficking (BNS Sec. 143),Falan Saha,2022-05-02,data/raw/firs/case_034.txt
case_035,3,"Narcotics Offence (NDPS Act, Sec. 8)",Yauvani Dubey,2022-03-15,data/raw/firs/case_035.txt
case_036,3,Human Trafficking (BNS Sec. 143),Kashvi Narain,2023-01-25,data/raw/firs/case_036.txt
case_037,3,Human Trafficking (BNS Sec. 143),Warjas Pai,2023-05-11,data/raw/firs/case_037.txt
